Name
Upasana
Auroville Consulting
Life Education Centre
WasteLess
MG Ecoduties
Sharana - Social and Development Organization
Marc’s Café – Roast and Taste & Dreamer’s café
Samugam Trust
Earth & US
EcoFemme
Bamboo Center
Mohanam
Adecom Network
Sristi Village
HydroPhonics
Eternal Divers
Naturellement
Solitude farm 
